TYPE,PRICE,BEDROOMS,BATHROOMS,SQFT,LATITUDE,LONGITUDE,ZIPCODE,BOROUGH,SUBLOCALITY,PROPERTY_TYPE,PROPERTY_TYPE_GROUP
condo,315000,2,2.0,1400,40.761255,-73.9744834,10022,manhattan,midtown east,amenity,other
house,260000,4,2.0,2015,40.5418051,-74.1961086,10312,staten island,richmond county,building,residential
condo,69000,3,1.0,445,40.7613979,-73.9746128,10022,manhattan,midtown east,amenity,other
house,690000,5,2.0,4004,40.6743632,-73.9587248,11238,brooklyn,kings county,building,residential
condo,899500,2,2.0,2184,40.809448,-73.946777,10027,manhattan,harlem,building,residential
co-op,440000,2,1.0,978,40.6157378,-73.9696944,11230,brooklyn,midwood,building,residential
co-op,375000,2,1.0,850,40.8248699,-73.9229829,10451,bronx,the bronx,building,residential
townhouse,689000,3,2.3738608579684373,1162,40.6249962,-74.1553058,10303,staten island,richmond county,building,residential
co-op,259000,3,1.0,2184,40.7531191,-73.8818757,11372,queens,queens,amenity,other
co-op,430000,2,2.0,2184,40.7438639,-73.8745722,11373,queens,elmhurst,building,residential
condo,549000,2,2.0,1000,40.5406209,-74.1671632,10312,staten island,staten island,building,residential
townhouse,975000,3,2.0,1734,40.7607676,-73.9056672,11377,queens,queens county,building,residential
co-op,199000,3,1.0,325,40.6181029,-74.0369047,11209,brooklyn,fort hamilton,building,residential
co-op,350000,1,1.0,700,40.9073699,-73.9065578,10471,bronx,the bronx,building,residential
condo,599000,2,2.0,974,40.7324713,-73.8670804,11374,queens,elmhurst,amenity,other
house,639999,3,2.0,1260,40.6207403,-74.1114362,10301,staten island,richmond county,building,residential
condo,1300000,2,2.0,1244,40.7202429,-73.8430513,11375,queens,queens,amenity,other
multi-family home,1100000,6,3.0,2837,40.8343936,-73.8221101,10465,bronx,throgs neck,building,residential
multi-family home,1690000,6,4.0,2200,40.710749,-73.809486,11435,queens,queens county,building,residential
co-op,325000,1,1.0,2184,40.7505078,-73.8851355,11372,queens,jackson heights,amenity,other
multi-family home,2250000,12,2.3738608579684373,5670,40.602654,-73.9869399,11214,brooklyn,bensonhurst,building,residential
co-op,230000,1,1.0,2184,40.7557689,-73.8734231,11372,queens,queens county,amenity,other
multi-family home,1299888,10,6.0,3156,40.6155667,-74.0869554,10304,staten island,staten island,building,residential
multi-family home,925000,5,2.0,2750,40.8242389,-73.8173809,10465,bronx,bronx county,building,residential
multi-family home,1300000,10,8.0,5040,40.6274381,-74.1581613,10303,staten island,staten island,building,residential
multi-family home,848000,5,4.0,2080,40.6615475,-73.898309,11207,brooklyn,kings county,building,residential
co-op,279000,1,1.0,750,40.6179165,-73.9546305,11210,brooklyn,midwood,building,residential
condo,528000,1,1.0,602,40.6275896,-74.0016198,11219,brooklyn,borough park,building,residential
co-op,275000,1,1.0,2184,40.7528774,-73.8211834,11355,queens,flushing,building,residential
condo,1165000,1,1.0,815,40.711969,-73.9649468,11249,brooklyn,williamsburg,building,residential
multi-family home,700000,6,2.0,3053,40.852813,-73.9176871,10453,bronx,bronx county,building,residential
multi-family home,2150000,8,4.0,3200,40.614446,-73.9795824,11204,brooklyn,borough park,building,residential
multi-family home,1280000,7,5.0,2460,40.688312,-73.856322,11421,queens,queens county,building,residential
co-op,369000,2,1.0,2184,40.753455,-73.8209077,11355,queens,flushing,building,residential
multi-family home,699000,4,3.0,1591,40.6847504,-73.8027331,11435,queens,queens county,building,residential
multi-family home,825000,2,2.0,2184,40.768457,-73.789417,11358,queens,queens county,building,residential
condo,329000,2,1.0,837,40.6315346,-74.0856344,10304,staten island,staten island,building,residential
