Original Address,ZIP Code,Sublocality,Borough
"Regis Residence, 2 E 55th Street #803",10022,Regis Residence,Manhattan
2 E 55th Street,10022,ST REGIS HOTEL (lower level,Manhattan
246 E 58th Street,10022,East 58th Street,Manhattan
444 E 57th Street #2D,10022,East 57th Street,Manhattan
2 Sutton Place S,10022,Sutton Place South,Manhattan
231-235 E 55th Street # 45A,10022,East 55th Street,Manhattan
303 E 57th Street #39A,10022,East 57th Street,Manhattan
411 E 53rd Street #4J,10022,East 53rd Street,Manhattan
465 Park Avenue Apt 34E,10022,Park Avenue,Manhattan
410 E 57th Street #8B,10022,East 57th Street,Manhattan
6 Sutton Square,10022,Sutton Square,Manhattan
303 E 57th Street #19B,10022,East 57th Street,Manhattan
411 E 57th Street #16B,10022,East 57th Street,Manhattan
420 E 51st Street Apartment 10E,10022,East 51st Street,Manhattan
440 E 56th Street #4B,10022,East 56th Street,Manhattan
240 E 55th Street #8E,10022,East 55th Street,Manhattan
455 E 51st Street #4A,10022,East 51st Street,Manhattan
401 E 60th Street #17A,10022,East 60th Street,Manhattan
455 E 51st Street #4F,10022,East 51st Street,Manhattan
165 E 60th Street #5C,10022,East 60th Street,Manhattan
315 E 51st Street,10022,East 51st Street,Manhattan
321 E 54th Street #3C,10022,East 54th Street,Manhattan
500 Park Avenue #16A,10022,Park Avenue,Manhattan
345 E 56th Street,10022,East 56th Street,Manhattan
320 E 57th Street,10022,East 57th Street,Manhattan
418 E 59th Street,10022,East 59th Street,Manhattan
45 Sutton Place S,10022,Sutton Place South,Manhattan
465 Park Avenue #9E,10022,Park Avenue,Manhattan
323 E 53rd Street,10022,East 53rd Street,Manhattan
641 5th Avenue #42B,10022,5th Avenue,Manhattan
480 Park Avenue Apt 18D,10022,Park Avenue,Manhattan
319 E 50th Street #9E,10022,East 50th Street,Manhattan
118 E 60th Street #4B,10022,East 60th Street,Manhattan
301 E 52nd Street #4B,10022,East 52nd Street,Manhattan
322 E 57th Street,10022,East 57th Street,Manhattan
252 E 57th Street #39C,10022,East 57th Street,Manhattan
781 5th Avenue # 407,10022,5th Avenue,Manhattan
470 Park Avenue #6A,10022,Park Avenue,Manhattan
455 E 51st Street #2B,10022,East 51st Street,Manhattan
420 E 51st Street #8D,10022,East 51st Street,Manhattan
502 Park Avenue Apt 12H,10022,Park Avenue,Manhattan
416 E 50th Street,10022,East 50th Street,Manhattan
300 E 54th Street #34A,10022,East 54th Street,Manhattan
435 E 57th Street Apt 11A,10022,East 57th Street,Manhattan
485 Park Avenue,10022,Park Avenue,Manhattan
425 E 51st Street #2B,10022,East 51st Street,Manhattan
400 E 56th Street #25C,10022,East 56th Street,Manhattan
444 E 52nd Street #6E,10022,East 52nd Street,Manhattan
400 E 59th Street #16B,10022,East 59th Street,Manhattan
117 E 57th Street Apt 34F,10022,East 57th Street,Manhattan
231-235 E 55th Street # 43B,10022,East 55th Street,Manhattan
200 E 58th Street #14C,10022,East 58th Street,Manhattan
135 E 54th Street #14B,10022,East 54th Street,Manhattan
401 E 60th Street #4B,10022,East 60th Street,Manhattan
333 E 57th Street # 12A,10022,East 57th Street,Manhattan
207 E 57th Street #16B,10022,M & B Building,Manhattan
418 E 59th Street #31B,10022,East 59th Street,Manhattan
60 E 55th Street #3,10022,East 55th Street,Manhattan
721 5th Avenue Suite 52D,10022,5th Avenue,Manhattan
415 E 52nd Street #9A,10022,East 52nd Street,Manhattan
225 E 57th Street #11M,10022,M & B Building,Manhattan
319 E 50th Street #8F,10022,East 50th Street,Manhattan
300 E 55th Street,10022,East 55th Street,Manhattan
420 E 55th Street #6L,10022,East 55th Street,Manhattan
"Regis Residence, 2 E 55th Street #1118",10022,Regis Residence,Manhattan
433 E 56th Street #8E,10022,East 56th Street,Manhattan
220 E 60th Street,10022,East 60th Street,Manhattan
641 5th Avenue #30H,10022,5th Avenue,Manhattan
303 E 57th Street #29E,10022,East 57th Street,Manhattan
118 E 60th Street #11E,10022,East 60th Street,Manhattan
432 Park Avenue Apt 84B,10022,Park Avenue,Manhattan
401 E 60th Street #5B,10022,East 60th Street,Manhattan
342 E 53rd Street #6C,10022,East 53rd Street,Manhattan
217 W 57th Street,10019,Central Park Tower,Manhattan
111 W 57th Street #50,10019,West 57th Street,Manhattan
9 W 54th Street,10019,West 54th Street,Manhattan
135 W 52nd Street Ph 5,10019,West 52nd Street,Manhattan
305 W 55th Street #2A,10019,West 55th Street,Manhattan
150 W 51st Street #808,10019,West 51st Street,Manhattan
422 W 49th Street #4A,10019,West 49th Street,Manhattan
345 W 55th Street #6B,10019,West 55th Street,Manhattan
452 W 50th Street #4A,10019,West 50th Street,Manhattan
457 W 57th Street #809,10019,West 57th Street,Manhattan
325 W 52nd Street,10019,West 52nd Street,Manhattan
40 W 55th Street #4D,10019,West 55th Street,Manhattan
120 Central Park S #3G,10019,Central Park South,Manhattan
416 W 52nd Street # 312,10019,West 52nd Street,Manhattan
426 W 58th Street Ph 3,10019,West 58th Street,Manhattan
1600 Broadway Ph 4B,10019,Broadway,Manhattan
458 W 51st Street,10019,West 51st Street,Manhattan
465 W 57th Street #3B,10019,West 57th Street,Manhattan
171 W 57th Street #8C,10019,West 57th Street,Manhattan
"Random House Tower, 230 W 56th Street Apt 62B",10019,West 56th Street,Manhattan
77 W 55th Street #2A,10019,West 55th Street,Manhattan
150 Central Park S,10019,Central Park South,Manhattan
555 W 59th Street #19B,10019,West 59th Street,Manhattan
150 W 51st Street Apt 2116,10019,West 51st Street,Manhattan
540 W 49th Street Ph 8N,10019,West 49th Street,Manhattan
301 W 57th Street #34E,10019,West 57th Street,Manhattan
1600 Broadway #16G,10019,Broadway,Manhattan
347 W 57th Street #29C,10019,West 57th Street,Manhattan
159 W 53rd Street #36B,10019,West 53rd Street,Manhattan
314 W 56th Street #3C,10019,West 56th Street,Manhattan
555 W 59th Street #20B,10019,West 59th Street,Manhattan
24 W 55th Street,10019,West 55th Street,Manhattan
1 Central Park S #1801,10019,Central Park South,Manhattan
1 Central Park S # 606,10019,Central Park South,Manhattan
425 W 50th Street #12B,10019,West 50th Street,Manhattan
347 W 57th Street #6B,10019,West 57th Street,Manhattan
400 W 58th Street #4B,10019,West 58th Street,Manhattan
217 W 57th Street #35A,10019,West 57th Street,Manhattan
150 W 55th Street #6C,10019,West 55th Street,Manhattan
40 W 55th Street #8D,10019,West 55th Street,Manhattan
200 Central Park S #20J,10019,Central Park South,Manhattan
414 W 54th Street #4E,10019,West 54th Street,Manhattan
24 Central Park S # 5E,10019,Central Park South,Manhattan
15 W 53rd Street #14G,10019,West 53rd Street,Manhattan
171 W 57th Street Apt 11A,10019,West 57th Street,Manhattan
205 W 54th Street #5B,10019,West 54th Street,Manhattan
24 Central Park S # 3E,10019,Central Park South,Manhattan
25 Columbus Cir #69,10019,Columbus Circle,Manhattan
317 W 54th Street #2E,10019,West 54th Street,Manhattan
301 W 53rd Street #19A,10019,West 53rd Street,Manhattan
25 Columbus Cir #57,10019,Columbus Circle,Manhattan
128 Central Park S #10A,10019,Central Park South,Manhattan
17 W 54th Street #10F,10019,West 54th Street,Manhattan
