LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.761255,-73.9744834,"Regis Residence, 2 E 55th Street #803",10022,Midtown East,condo,2,2.0,1400.0,315000,Douglas Elliman,|803|40.761255|-73.9744834,Manhattan
40.7663935,-73.9809909,217 W 57th Street,10019,Midtown West / Hell's Kitchen,house,7,10.0,17545.0,195000000,Serhant,217||40.7663935|-73.9809909,Manhattan
40.5418051,-74.1961086,620 Sinclair Avenue,10312,Huguenot,house,4,2.0,2015.0,260000,Sowae Corp,620||40.5418051|-74.1961086,Staten Island
40.7613979,-73.9746128,2 E 55th Street,10022,Midtown East,house,3,1.0,445.0,69000,Compass,2||40.7613979|-73.9746128,Manhattan
40.7672235,-73.9698561,5 E 64th Street,10065,Upper East Side,house,7,2.37,14175.0,55000000,Sotheby'S International Realty,5||40.7672235|-73.9698561,Manhattan
40.6743632,-73.9587248,584 Park Place,11238,Park Slope,house,5,2.0,4004.0,690000,Sowae Corp,584||40.6743632|-73.9587248,Brooklyn
40.809448,-73.946777,157 W 126th Street #1B,10027,Harlem,condo,2,2.0,2184.21,899500,Douglas Elliman,157|1b|40.809448|-73.946777,Manhattan
40.5950017,-74.1064235,177 Benedict Road,10304,Mariner's Harbor,house,8,16.0,33000.0,16800000,Connie Profaci Realty,177||40.5950017|-74.1064235,Staten Island
40.8215857,-73.8740892,"Parking Lot, 875 Morrison Avenue #3M",10473,Soundview Bruckner,condo,1,1.0,750.0,265000,Pantiga Group Inc.,|3m|40.8215857|-73.8740892,Bronx
40.6157378,-73.9696944,1350 Ocean Parkway #5G,11230,Midwood,condo,2,1.0,978.0,440000,Century 21 Mk Realty,1350|5g|40.6157378|-73.9696944,Brooklyn
40.8248699,-73.9229829,800 Grand Concourse #2J,10451,Mott Haven,condo,2,1.0,850.0,375000,Engel & Volkers Americas,800|2j|40.8248699|-73.9229829,Bronx
40.6249962,-74.1553058,456 Van Name Avenue,10303,Stapleton,house,3,2.37,1162.0,689000,Re/Max Edge,456||40.6249962|-74.1553058,Staten Island
